            White Queen to 4, 6 = -0.999084
            White Queen to 7, 3 = -0.77381
            White Queen to 6, 4 = -0.753205
            White Queen to 5, 5 = -0.77381
        Black Pawn to 4, 4 = 0.0619048
    White Knight to 0, 5 = 0.0619048
            White Knight to 4, 4 = 0.780952
            White Pawn to 3, 4 = -0.182662
            White Knight to 3, 3 = -0.165476
            White Pawn to 5, 4 = -0.519048
            White Pawn to 6, 4 = -0.148871
            White Pawn to 6, 5 = 0.130525
            White King to 4, 6 = -0.575275
            White Pawn to 7, 5 = -0.0246032
            White Pawn to 7, 4 = -0.14127
            White Pawn to 5, 5 = -0.204762
            White Pawn to 1, 5 = 0.130525
            White Pawn to 1, 4 = -0.169475
            White Pawn to 3, 5 = -0.0948718
            White Pawn to 0, 5 = -0.0246032
            White Pawn to 0, 4 = -0.14127
            White Knight to 7, 5 = 0.097619
            White Knight to 4, 6 = -0.00979853
            White Knight to 1, 3 = -0.557509
            White Knight to 1, 7 = -0.702381
            White Knight to 0, 4 = -0.569048
            White Knight to 4, 6 = -0.726465
            White Bishop to 0, 2 = 0.0142857
            White Bishop to 1, 3 = 0.12967
            White Bishop to 2, 4 = 0.168132
            White Bishop to 3, 5 = 0.0706044
            White Bishop to 4, 6 = 0.0760989
            White Knight to 5, 5 = 0.361905
            White Rook to 1, 7 = -0.0357143
            White Queen to 7, 3 = -0.47381
            White Queen to 6, 4 = -0.453205
            White Queen to 5, 5 = -0.509524
            White Queen to 4, 6 = -0.699084
        Black Pawn to 4, 4 = 0.780952
    White Knight to 2, 5 = 0.780952
            White Pawn to 3, 3 = -2.12915
            White Pawn to 3, 4 = -2.91737
            White Pawn to 4, 3 = -3.01804
            White Pawn to 6, 5 = -2.60693
            White Pawn to 2, 4 = -2.87121
            White Pawn to 2, 5 = -2.57121
            White Pawn to 0, 4 = -2.84026
            White Pawn to 0, 5 = -2.7236
            White Pawn to 1, 4 = -2.86847
            White Pawn to 1, 5 = -2.56847
            White Pawn to 5, 4 = -3.21804
            White Pawn to 5, 5 = -2.75375
            White King to 5, 7 = -2.66685
            White King to 4, 6 = -2.90256
            White Pawn to 6, 4 = -2.88632
            White Pawn to 7, 4 = -2.84026
            White Pawn to 7, 5 = -2.7236
            White Pawn to 3, 5 = -2.43523
